ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Yrs_Customer,age,Total_Spent
5899,PhD,Together,5648.0,1,1,68,1,1,0,0,20,1,0,0,0,0,0,0,8,72,49
387,Basic,Married,7500.0,0,0,59,1,2,0,3,8,0,0,0,0,0,0,0,9,46,61
2569,Graduation,Married,17323.0,0,0,38,1,1,0,3,8,0,0,0,0,0,0,0,9,35,46
7892,Graduation,Single,18589.0,0,0,89,2,2,1,3,7,0,0,0,0,0,0,0,9,53,75
6864,Master,Divorced,10979.0,0,0,34,2,3,0,3,5,0,0,0,0,0,0,0,7,33,30
10755,Unknown,Married,23718.0,1,0,76,3,3,1,2,7,0,0,0,0,0,0,0,8,46,81
503,Master,Married,20559.0,1,0,88,2,2,0,3,8,0,0,0,0,0,0,0,9,37,53
8430,Graduation,Together,21994.0,0,1,4,1,0,0,3,5,0,0,0,0,0,0,0,9,65,22
2139,Master,Married,7500.0,1,0,19,3,2,0,3,5,0,0,0,0,0,0,0,8,47,31
5346,Unknown,Married,23559.0,1,0,87,3,3,0,3,7,0,0,0,0,0,0,0,8,49,79
2230,PhD,Married,23626.0,1,0,84,3,3,1,3,5,0,0,0,0,0,0,0,7,52,43
8373,Basic,Together,24594.0,1,0,94,1,1,0,3,5,0,0,0,0,0,0,0,8,43,29
9862,Graduation,Together,21918.0,1,0,37,2,2,0,3,6,0,0,0,0,0,0,0,8,53,33
8442,Master,Married,19510.0,1,0,63,2,1,0,3,7,0,0,0,0,0,0,0,8,37,30
5342,Basic,Divorced,9548.0,1,0,31,2,1,0,3,8,0,0,0,0,0,0,0,9,46,29
8182,Graduation,Married,23228.0,1,0,91,4,3,0,4,8,0,0,0,0,0,0,0,8,38,121
3559,Unknown,Married,16248.0,1,0,77,3,2,1,3,6,0,0,0,0,0,0,0,8,34,57
9733,Basic,Together,24882.0,1,0,52,1,1,1,2,6,1,0,0,0,0,0,0,9,44,80
9617,Graduation,Single,15033.0,0,0,37,1,1,0,3,3,0,0,0,0,0,0,0,8,71,19
89,Unknown,Married,22212.0,1,0,49,2,2,0,4,6,0,0,0,0,0,0,0,8,47,69
2936,Master,Together,23661.0,1,0,46,1,1,0,3,7,0,0,0,0,0,0,0,8,40,23
7297,Graduation,Single,7500.0,1,0,54,4,3,1,3,7,0,0,0,0,0,0,0,8,49,57
10735,Graduation,Single,22804.0,1,0,75,1,2,0,2,9,0,0,0,0,0,0,0,8,51,26
2661,Graduation,Single,18701.0,1,1,95,4,2,0,4,5,0,0,0,0,0,0,0,8,58,44
4557,Graduation,Together,22070.0,1,0,11,2,2,2,2,6,0,0,0,0,0,0,0,8,52,67
4669,Basic,Married,24480.0,1,0,46,3,3,0,4,7,0,0,0,0,0,0,0,9,41,102
4927,Graduation,Together,16626.0,1,0,76,3,3,0,3,9,0,0,0,0,0,0,0,8,51,68
