ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Yrs_Customer,age,Total_Spent
5524,Graduation,Single,58138.0,0,0,58,3,8,10,4,7,0,0,0,0,0,0,1,9,65,1617
2114,PhD,Single,82800.0,0,0,23,1,7,6,12,3,0,0,1,1,0,0,1,9,76,1315
2225,Graduation,Divorced,82582.0,0,0,54,1,4,9,7,1,1,0,0,1,0,0,1,7,45,1617
6260,Master,Together,82384.0,0,0,55,1,3,10,13,1,0,0,1,0,0,0,1,9,67,1957
10383,Graduation,Divorced,70287.0,0,0,30,1,5,5,10,3,0,0,0,0,0,0,1,9,56,1093
6853,Master,Single,75777.0,0,0,12,1,3,6,11,1,0,1,1,0,0,0,1,8,40,1438
9369,Unknown,Single,88194.0,0,1,19,1,11,10,10,5,1,0,0,1,0,0,1,8,43,1274
1859,Master,Married,75251.0,0,0,34,1,7,6,5,5,0,0,0,0,0,0,1,9,50,1890
7503,Graduation,Single,75825.0,0,0,40,0,5,8,9,4,1,0,0,0,0,0,1,9,46,2209
8908,Graduation,Married,87195.0,0,0,35,1,3,11,5,1,0,0,0,0,0,0,1,8,63,1097
7431,PhD,Single,68126.0,0,0,40,1,7,4,5,9,0,1,0,0,0,0,1,9,31,1820
7215,Graduation,Single,101970.0,0,0,69,0,6,8,13,2,0,1,1,1,0,0,1,9,39,1135
11071,Graduation,Single,79607.0,0,0,37,1,3,6,6,1,0,0,0,0,0,0,1,9,38,1923
11084,Master,Together,65104.0,0,1,4,2,3,5,7,7,0,0,0,0,0,0,1,8,46,1053
10240,Graduation,Together,69372.0,0,0,10,1,10,4,6,4,0,1,1,0,0,0,1,9,73,1381
10314,PhD,Married,83837.0,0,0,79,1,9,10,5,4,0,1,0,1,0,0,1,9,74,1318
2798,PhD,Together,102160.0,0,0,54,0,7,9,10,4,0,1,1,1,0,0,1,9,45,1240
380,Graduation,Divorced,64497.0,0,1,17,5,11,4,9,8,1,0,0,0,0,0,1,9,68,1804
9529,Graduation,Married,73687.0,0,0,8,1,3,9,9,2,0,0,0,1,0,0,1,8,32,1627
2176,Graduation,Married,80134.0,1,0,40,2,5,3,6,6,0,1,1,1,0,0,1,8,50,1690
10089,Graduation,Divorced,102692.0,0,0,5,1,6,9,13,2,0,1,1,1,1,0,1,9,48,1112
2379,Graduation,Single,69267.0,0,0,31,2,3,4,5,7,0,0,0,0,0,0,1,9,69,1635
10675,PhD,Married,66334.0,0,1,82,2,9,3,5,5,0,0,0,0,0,0,1,9,66,1161
7381,Graduation,Divorced,75693.0,0,0,10,1,11,4,6,4,0,1,1,1,0,0,1,9,54,1442
9560,Graduation,Together,83003.0,0,0,18,1,7,6,8,3,0,0,1,0,0,0,1,9,57,1674
1826,Graduation,Divorced,84835.0,0,0,0,1,4,4,6,1,0,0,0,0,0,0,1,7,52,1190
9185,PhD,Single,69759.0,0,0,38,3,4,6,5,3,0,0,0,0,0,0,1,8,56,1029
4216,Graduation,Single,91065.0,0,0,33,1,7,9,9,3,0,0,1,1,0,0,1,9,41,1474
1361,Master,Married,82584.0,0,0,26,1,3,4,8,1,0,1,1,0,0,0,1,8,48,1435
3725,PhD,Single,84865.0,0,0,1,1,2,4,9,4,0,1,1,1,1,0,1,9,61,1688
4947,Unknown,Single,89572.0,0,0,44,1,7,7,9,4,0,1,0,1,0,0,1,9,56,2059
7999,PhD,Together,75261.0,0,0,17,1,5,6,5,2,0,1,1,0,0,0,1,9,67,1743
6931,Graduation,Divorced,76982.0,0,0,19,1,8,3,4,4,0,0,1,0,0,0,1,8,55,1062
5547,PhD,Married,84169.0,0,0,9,1,7,6,6,3,0,1,1,0,0,0,1,8,40,1919
10955,Graduation,Widow,85620.0,0,0,68,1,3,6,4,1,0,0,0,0,0,0,1,8,58,1600
9504,Master,Married,81698.0,0,0,4,1,3,8,13,1,0,0,0,0,0,0,1,8,73,1008
3174,Graduation,Together,87771.0,0,1,61,1,5,10,4,6,0,1,1,1,1,0,1,8,63,1957
2574,PhD,Married,61996.0,0,1,27,3,6,4,8,5,0,1,0,1,1,0,1,9,45,1230
9058,Graduation,Widow,79800.0,0,0,65,1,5,11,5,3,1,0,1,1,0,0,1,9,67,1867
7627,Master,Married,92163.0,0,0,25,0,5,11,5,2,0,0,1,1,0,0,1,9,47,2086
